City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
168,mackenzie,CA,2021-11-29 22:01:20,55.2999,-123.1698,32.02,96,100,5.55,overcast clouds,0.0,0
169,aden,YE,2021-11-29 22:00:24,12.7794,45.0367,79.77,64,0,6.31,clear sky,0.0,0
170,ayan,RU,2021-11-29 22:01:21,56.45,138.1667,10.71,66,100,8.97,overcast clouds,0.0,0
171,belmonte,BR,2021-11-29 22:01:22,-15.8631,-38.8828,77.79,86,50,14.56,light rain,0.0,0
172,aklavik,CA,2021-11-29 22:01:22,68.2191,-135.0107,-30.28,91,30,3.51,scattered clouds,0.0,0
173,ponta delgada,PT,2021-11-29 22:01:23,37.7333,-25.6667,60.49,63,75,5.75,broken clouds,0.0,0
174,lenger,KZ,2021-11-29 22:01:23,42.183,69.8839,31.44,36,95,5.3,overcast clouds,0.0,0
175,sijunjung,ID,2021-11-29 22:01:24,-0.6876,100.9537,67.93,95,85,2.37,overcast clouds,0.0,0
176,terney,RU,2021-11-29 22:01:24,45.0503,136.6092,26.38,65,93,5.23,overcast clouds,0.0,0
177,henties bay,NA,2021-11-29 22:01:25,-22.116,14.2845,59.86,92,0,5.59,clear sky,0.0,0
178,lata,PT,2021-11-29 22:01:25,40.1629,-8.3327,48.81,87,96,1.79,overcast clouds,0.0,0
179,morden,CA,2021-11-29 22:01:26,49.1919,-98.1014,39.04,83,15,13.44,few clouds,0.0,0
180,xiamen,CN,2021-11-29 21:59:39,24.4798,118.0819,64.45,88,0,2.24,clear sky,0.0,0
181,bonthe,SL,2021-11-29 22:01:27,7.5264,-12.505,79.72,82,100,7.34,light rain,0.0,0
182,flinders,AU,2021-11-29 22:01:28,-34.5833,150.8552,68.2,82,91,1.01,overcast clouds,0.0,0
183,vega de alatorre,MX,2021-11-29 22:01:29,20.0333,-96.6333,73.31,71,48,13.11,scattered clouds,0.0,0
184,chase,CA,2021-11-29 22:01:30,50.8165,-119.6857,41.07,89,95,2.51,overcast clouds,0.0,0
185,venice,US,2021-11-29 21:59:38,27.0998,-82.4543,71.98,69,1,12.66,clear sky,0.0,0
186,kyrksaeterora,NO,2021-11-29 22:01:31,63.2906,9.0891,30.85,81,100,5.12,light snow,0.0,0
187,contamana,PE,2021-11-29 22:01:31,-7.3333,-75.0167,89.74,50,98,5.95,light rain,0.0,0
188,provideniya,RU,2021-11-29 22:00:44,64.3833,-173.3,-1.64,60,0,6.71,clear sky,0.0,0
189,bengkulu,ID,2021-11-29 22:01:32,-3.8004,102.2655,74.91,86,98,9.6,overcast clouds,0.0,0
190,batagay,RU,2021-11-29 22:01:33,67.6333,134.6333,-25.11,100,100,2.15,overcast clouds,0.0,0
191,erenhot,CN,2021-11-29 22:01:33,43.6475,111.9767,15.4,64,0,10.11,clear sky,0.0,0
192,palimbang,PH,2021-11-29 22:01:34,6.2106,124.1894,77.18,87,100,2.57,light rain,0.0,0
193,kaeo,NZ,2021-11-29 22:01:35,-35.1,173.7833,70.43,61,45,6.08,scattered clouds,0.0,0
194,codrington,AU,2021-11-29 22:01:35,-38.2667,141.9667,69.84,43,0,7.96,clear sky,0.0,0
195,nelson bay,AU,2021-11-29 22:01:36,-32.7167,152.15,71.96,84,100,1.99,overcast clouds,0.0,0
196,temir,KZ,2021-11-29 22:01:36,49.1414,57.13,15.94,83,5,6.06,clear sky,0.0,0
197,nantucket,US,2021-11-29 22:01:37,41.2835,-70.0995,39.96,69,75,17.27,broken clouds,0.0,0
198,shingu,JP,2021-11-29 22:01:37,33.7333,135.9833,53.1,82,88,4.38,overcast clouds,0.0,0
199,isangel,VU,2021-11-29 22:01:38,-19.55,169.2667,83.95,68,5,1.45,clear sky,0.0,0
200,constitucion,CL,2021-11-29 22:00:31,-35.3333,-72.4167,60.8,70,5,19.01,clear sky,0.0,0
201,kyra,RU,2021-11-29 22:00:38,49.5776,111.9753,7.84,82,74,5.84,broken clouds,0.0,0
202,guerrero negro,MX,2021-11-29 22:01:40,27.9769,-114.0611,77.63,32,0,10.63,clear sky,0.0,0
203,hasaki,JP,2021-11-29 21:57:00,35.7333,140.8333,30.6,62,20,4.59,few clouds,0.0,0
204,port elizabeth,ZA,2021-11-29 22:01:41,-33.918,25.5701,61.11,86,5,7.43,clear sky,0.0,0
205,yambio,SS,2021-11-29 22:01:41,4.5721,28.3955,68.18,94,100,4.09,moderate rain,0.0,0
206,olafsvik,IS,2021-11-29 22:01:42,64.8945,-23.7142,31.03,94,100,12.26,light snow,0.0,0
207,noyabrsk,RU,2021-11-29 22:01:43,63.1994,75.4507,23.76,94,99,15.46,overcast clouds,0.0,0
208,praia da vitoria,PT,2021-11-29 21:57:17,38.7333,-27.0667,56.75,94,75,5.41,broken clouds,0.0,0
209,kirkwall,GB,2021-11-29 22:01:44,58.9848,-2.9587,42.85,75,75,18.41,broken clouds,0.0,0
210,nikolsk,RU,2021-11-29 22:01:45,53.7189,46.0712,41.31,93,100,20.96,overcast clouds,0.0,0
211,mahebourg,MU,2021-11-29 22:01:05,-20.4081,57.7,74.25,70,0,5.95,clear sky,0.0,0
212,tacuarembo,UY,2021-11-29 22:01:46,-31.7333,-55.9833,71.08,57,3,14.14,clear sky,0.0,0
213,brae,GB,2021-11-29 22:01:46,60.3964,-1.353,40.37,65,73,24.79,broken clouds,0.0,0
214,lompoc,US,2021-11-29 22:01:47,34.6391,-120.4579,87.69,45,1,13.8,clear sky,0.0,0
215,biak,ID,2021-11-29 22:01:47,-0.9131,122.8766,75.78,85,97,2.17,overcast clouds,0.0,0
216,santa helena,BR,2021-11-29 22:01:48,-2.2311,-45.3,76.59,93,73,3.44,broken clouds,0.0,0
217,urengoy,RU,2021-11-29 22:01:49,65.9667,78.3667,2.08,97,100,5.66,overcast clouds,0.0,0
218,rocha,UY,2021-11-29 22:01:50,-34.4833,-54.3333,64.45,96,100,21.3,overcast clouds,0.0,0
219,atar,MR,2021-11-29 22:01:51,20.5169,-13.0499,64.65,27,5,9.98,clear sky,0.0,0
220,sao filipe,CV,2021-11-29 22:01:51,14.8961,-24.4956,75.61,68,96,14.88,overcast clouds,0.0,0
221,port augusta,AU,2021-11-29 22:01:52,-32.5,137.7667,76.71,28,5,1.59,clear sky,0.0,0
222,hatillo,PR,2021-11-29 22:01:52,18.4863,-66.8254,83.01,94,31,4.0,scattered clouds,0.0,0
223,salisbury,GB,2021-11-29 22:01:53,51.0693,-1.7957,45.52,85,99,8.08,overcast clouds,0.0,0
224,merrill,US,2021-11-29 22:01:53,45.1805,-89.6835,34.52,92,90,5.75,snow,0.0,0
225,vysokogornyy,RU,2021-11-29 22:01:54,50.1167,139.15,5.94,96,100,1.81,overcast clouds,0.0,0
226,marzuq,YE,2021-11-29 22:01:54,14.4,46.4667,61.97,40,0,4.25,clear sky,0.0,0
227,dolores,AR,2021-11-29 22:01:55,-36.3132,-57.6792,71.71,45,49,18.28,scattered clouds,0.0,0
228,poum,NC,2021-11-29 22:01:55,-20.2333,164.0167,81.36,78,15,14.16,few clouds,0.0,0
229,sehithwa,BW,2021-11-29 22:01:56,-20.4667,22.7167,80.31,40,73,2.82,broken clouds,0.0,0
230,quatre cocos,MU,2021-11-29 22:01:56,-20.2078,57.7625,74.08,70,0,5.99,clear sky,0.0,0
231,afyonkarahisar,TR,2021-11-29 22:01:57,38.75,30.6667,57.65,62,100,23.26,light rain,0.0,0
232,saskylakh,RU,2021-11-29 22:01:57,71.9167,114.0833,-24.59,100,94,4.38,overcast clouds,0.0,0
233,ponta do sol,PT,2021-11-29 22:01:58,32.6667,-17.1,63.72,69,25,4.56,scattered clouds,0.0,0
