City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,kaeo,NZ,70.43,scattered clouds,-35.1,173.7833,Bushido Lodge
194,codrington,AU,69.84,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
195,nelson bay,AU,71.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
199,isangel,VU,83.95,clear sky,-19.55,169.2667,Tanna Lodge
202,guerrero negro,MX,77.63,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
205,yambio,SS,68.18,moderate rain,4.5721,28.3955,Naivasha Hotel
211,mahebourg,MU,74.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
212,tacuarembo,UY,71.08,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
214,lompoc,US,87.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
215,biak,ID,75.78,overcast clouds,-0.9131,122.8766,Penginapan Kim
216,santa helena,BR,76.59,broken clouds,-2.2311,-45.3,Turi Plaza Hotel
220,sao filipe,CV,75.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
221,port augusta,AU,76.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
222,hatillo,PR,83.01,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
227,dolores,AR,71.71,scattered clouds,-36.3132,-57.6792,Apart Hotel - Arianos
228,poum,NC,81.36,few clouds,-20.2333,164.0167,Gîte kajeon
229,sehithwa,BW,80.31,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
230,quatre cocos,MU,74.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
235,maumere,ID,79.97,overcast clouds,-8.6199,122.2111,Sylvia Hotel
239,lazaro cardenas,MX,82.8,clear sky,17.9583,-102.2,quinta antigua
241,sao sebastiao,BR,73.99,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
243,itaituba,BR,82.26,broken clouds,-4.2761,-55.9836,Hotel Campos
245,monte aprazivel,BR,75.74,moderate rain,-20.7725,-49.7142,Torres Palace Hotel
248,sao domingos,BR,72.84,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
251,hithadhoo,MV,81.14,broken clouds,-0.6,73.0833,Scoop Guest House
252,dingle,PH,74.43,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
258,uvira,CD,73.04,light rain,-3.4067,29.1458,Hotel Suzana
259,moa,CU,77.58,broken clouds,20.6569,-74.9403,Carmen
262,hambantota,LK,77.0,overcast clouds,6.1241,81.1185,Bungalow 63
264,meulaboh,ID,73.94,overcast clouds,4.1363,96.1285,Kost Pria
266,kalmunai,LK,75.81,clear sky,7.4167,81.8167,VS Villa
268,naze,JP,68.92,overcast clouds,28.3667,129.4833,Shishime Hotel
271,wamba,NG,75.92,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
272,sao joao da barra,BR,75.38,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
273,yulara,AU,76.66,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
276,jaruco,CU,72.32,light rain,23.0431,-82.0108,Ruinas Hotel Escaleras de Jaruco
278,lorengau,PG,83.46,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
279,owando,CG,71.2,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
283,carutapera,BR,77.47,overcast clouds,-1.195,-46.02,Lidera
284,cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
286,dwarka,IN,76.46,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
287,itoman,JP,71.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
288,berbera,SO,79.77,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
289,claremore,US,72.34,clear sky,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
290,touros,BR,80.17,few clouds,-5.1989,-35.4608,INN NEW HORIZON
295,road town,VG,80.01,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
302,rio grande,BR,77.11,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
303,mangochi,MW,79.23,broken clouds,-14.4782,35.2645,Fort Johnstone Hotel
305,taubate,BR,77.41,overcast clouds,-23.0264,-45.5553,Plaza Suite Hotel Taubaté
308,luanda,AO,78.3,overcast clouds,-8.8368,13.2343,Hotel Fórum
311,eydhafushi,MV,79.43,overcast clouds,5.1033,73.0708,Soneva Fushi
315,buwenge,UG,65.03,light rain,0.6422,33.1744,Gads Kentm
316,port hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
318,formosa do rio preto,BR,70.47,light rain,-11.0483,-45.1931,Porto Center Hotel
319,cabadiangan,PH,76.32,broken clouds,9.7531,122.4739,Kipot
